nationality,country
British,UK
German,Germany
Brazilian,Brazil
French,France
Italian,Italy
Spanish,Spain
Dutch,Netherlands
Finnish,Finland
Japanese,Japan
Austrian,Austria
American,USA
Australian,Australia
Belgian,Belgium
Canadian,Canada
Indian,India
Mexican,Mexico
Russian,Russia
Argentine,Argentina
Hungarian,Hungary
Malaysian,Malaysia
Portuguese,Portugal
Swedish,Sweden
Swiss,Switzerland
Colombian,Colombia
Danish,Denmark
New Zealander,New Zealand
Polish,Poland
Czech,Czech Republic
Indonesian,Indonesia
Venezuelan,Venezuela
Irish,Ireland
Thai,Thailand
Monegasque,Monaco
South African,South Africa
Uruguayan,Uruguay
Chilean,Chile
Rhodesian,Zimbabwe
East German,Germany
Liechtensteiner,Liechtenstein